TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,Grade,LootTags,DiscoveredAchievement,ChartedAchievement,AudioGroup,AudioState,AudioBank,RecommendedLevel,MaximumLevel,MinCompanyDefenders,MinCompanyAttackers,CanPlaceCamp,ObjectiveID,IsTerritory,FactionControlBuff,FactionControlTerritoryBuffs,PermanentOwnershipAchievementId,UpkeepModifier,TerritoryStandingXpModifier,PoiDiscoveryXpModifier,EntryAchievementId,EntryStatusEffectId
31,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
32,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
33,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
34,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
35,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
36,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
37,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
38,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
39,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
40,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
41,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
42,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
43,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
44,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
45,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
46,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
47,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
48,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
49,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
50,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
51,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
52,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
53,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
54,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
55,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
56,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
57,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
58,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
59,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
60,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
61,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
62,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
63,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
64,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
65,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
66,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
67,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
68,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
69,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
70,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
71,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
72,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
73,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
74,@DevWorld_Red,300,500,1,false,,,,,,,,DevWorld_Red,,,Music_Territory,Brightwoods,Brightwoods,0,0,0,0,true,,true,,,,0,0,0,,
75,@DevWorld_Blue,300,500,1,false,,,,,,,,DevWorld_Blue,,,Music_Territory,Brightwoods,Brightwoods,0,0,0,0,true,,true,,,,0,0,0,,
76,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
77,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
78,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
79,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
80,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
81,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
82,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
83,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
84,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
85,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
86,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
87,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
88,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
89,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
90,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
91,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
92,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
93,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
94,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
95,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
96,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
97,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
98,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
99,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
100,@Campground,300,500,0,true,,,,,,,,,,,Music_POI,Campground,Campground,0,0,0,0,true,,false,,,,0,0,0,,
101,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
102,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
103,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
104,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
105,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
106,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
107,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
108,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
109,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
110,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
111,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
112,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
113,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
114,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
115,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
116,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
117,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
118,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
119,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
120,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
121,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
122,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
123,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
124,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
125,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
126,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
127,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
128,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
129,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
130,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
131,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
132,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
133,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
134,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
135,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
136,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
137,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
138,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
139,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
140,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
141,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
142,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
143,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
144,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
145,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
146,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
147,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
148,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
149,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
150,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
151,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
152,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
153,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
154,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
155,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
156,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
157,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
158,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
159,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
160,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
900,,300,500,0,false,,,,,,,,,,,,,,0,0,0,0,false,,false,,,,0,0,0,,
