VariantID,Visual_Chest,Visual_Loot,GatherableEntryID,LootTableComponent,GatheringRadius,InteractionRadius,DetectableRadius,DepletedPreload,DepletedSFX,DepletedFX,Idle_VFX,MarkerRadius,Name,LoS_Override,MarkerOffset_Z
Alchemy_T2_L,slices/POIs/LootContainers/Alchemy_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootAlchemyLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AlchemyLarge_DisplayName,false,0
Alchemy_T2_M,slices/POIs/LootContainers/Alchemy_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootAlchemySmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_AlchemyMedium_DisplayName,false,0
Alchemy_T3_L,slices/POIs/LootContainers/Alchemy_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootAlchemyLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AlchemyLarge_DisplayName,false,0
Alchemy_T3_M,slices/POIs/LootContainers/Alchemy_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Alchemy_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootAlchemySmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_AlchemyMedium_DisplayName,false,0
Ancient_T1_L,slices/POIs/LootContainers/Ancient_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_closed01,4,@LootContainer_AncientLarge_DisplayName,false,0
Ancient_T1_M,slices/POIs/LootContainers/Ancient_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Medium_Celebration01,Loot.Chest_big_peek01,4,@LootContainer_AncientMedium_DisplayName,false,0
Ancient_T1_S,slices/POIs/LootContainers/Ancient_T1_S_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T1_S_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_AncientSmall_DisplayName,false,0
Ancient_T2_L,slices/POIs/LootContainers/Ancient_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_closed01,4,@LootContainer_AncientLarge_DisplayName,false,0
Ancient_T2_M,slices/POIs/LootContainers/Ancient_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Medium_Celebration01,Loot.Chest_big_peek01,4,@LootContainer_AncientMedium_DisplayName,false,0
Ancient_T2_S,slices/POIs/LootContainers/Ancient_T2_S_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T2_S_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_AncientSmall_DisplayName,false,0
Ancient_T3_L,slices/POIs/LootContainers/Ancient_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_closed01,4,@LootContainer_AncientLarge_DisplayName,false,0
Ancient_T3_M,slices/POIs/LootContainers/Ancient_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Medium_Celebration01,Loot.Chest_big_open01,4,@LootContainer_AncientMedium_DisplayName,false,0
Ancient_T3_S,slices/POIs/LootContainers/Ancient_T3_S_chest.dynamicslice,slices/POIs/LootContainers/Ancient_T3_S_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_AncientSmall_DisplayName,false,0
Blacksmith_T1_L,slices/POIs/LootContainers/Blacksmith_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Big_Celebration02,Loot.Crate_tall01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Blacksmith_T1_M,slices/POIs/LootContainers/Blacksmith_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Blacksmith_T2_L,slices/POIs/LootContainers/Blacksmith_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Blacksmith_T2_M,slices/POIs/LootContainers/Blacksmith_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Blacksmith_T3_L,slices/POIs/LootContainers/Blacksmith_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Blacksmith_T3_M,slices/POIs/LootContainers/Blacksmith_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Blacksmith_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Carpentry_T1_L,slices/POIs/LootContainers/Carpentry_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Big_Celebration02,Loot.Crate_tall01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Carpentry_T1_M,slices/POIs/LootContainers/Carpentry_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Carpentry_T2_L,slices/POIs/LootContainers/Carpentry_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Carpentry_T2_M,slices/POIs/LootContainers/Carpentry_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Carpentry_T3_L,slices/POIs/LootContainers/Carpentry_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Carpentry_T3_M,slices/POIs/LootContainers/Carpentry_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Carpentry_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
ChestEliteAncientT2,slices/POIs/LootContainers/Ancient_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Ancient_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_open01,4,@LootContainer_Elite_Ancient_DisplayName,false,0
ChestEliteAncientT3,slices/POIs/LootContainers/Ancient_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Ancient_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_open01,4,@LootContainer_Elite_Ancient_DisplayName,false,0
ChestEliteAncientT4,slices/POIs/LootContainers/Ancient_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Ancient_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_open01,4,@LootContainer_Elite_Ancient_DisplayName,false,0
ChestEliteAncientT5,slices/POIs/LootContainers/Ancient_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Ancient_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration02,Loot.Chest_big_open01,4,@LootContainer_Elite_Ancient_DisplayName,false,0
ChestEliteT2,slices/POIs/LootContainers/Abandoned_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_Elite_Supplies_DisplayName,false,0
ChestEliteT3,slices/POIs/LootContainers/Abandoned_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_Elite_Supplies_DisplayName,false,0
ChestEliteT4,slices/POIs/LootContainers/Abandoned_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_Elite_Supplies_DisplayName,false,0
ChestEliteT5,slices/POIs/LootContainers/Abandoned_ELITE_T2_Chest.dynamicslice,slices/POIs/LootContainers/Abandoned_ELITE_T2_Loot.dynamicslice,LootLargeT3ElitePOI,ChestLootElite,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_Elite_Supplies_DisplayName,false,0
Darkness_StarterPack,slices/POIs/LootContainers/Abandoned_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Abandoned_T3_L_loot.dynamicslice,DarknessStarterPack,DarknessStarterPack,0.5,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@Darkness_StarterPack_DisplayName,false,0
Engineering_T1_L,slices/POIs/LootContainers/Engineering_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Engineering_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Big_Celebration02,Loot.Crate_tall01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Engineering_T1_M,slices/POIs/LootContainers/Engineering_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Engineering_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Engineering_T2_L,slices/POIs/LootContainers/Engineering_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Engineering_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Engineering_T2_M,slices/POIs/LootContainers/Engineering_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Engineering_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Engineering_T3_L,slices/POIs/LootContainers/Engineering_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Engineering_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Engineering_T3_M,slices/POIs/LootContainers/Engineering_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Engineering_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Farmland_T1_L,slices/POIs/LootContainers/Farmland_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Farmland_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Farmland_T1_M,slices/POIs/LootContainers/Farmland_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Farmland_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Farmland_T2_L,slices/POIs/LootContainers/Farmland_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Farmland_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Farmland_T2_M,slices/POIs/LootContainers/Farmland_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Farmland_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Farmland_T3_L,slices/POIs/LootContainers/Farmland_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Farmland_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Farmland_T3_M,slices/POIs/LootContainers/Farmland_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Farmland_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
FTUE_Backstory,slices/POIs/LootContainers/FTUE_Backstory_Chest.dynamicslice,slices/POIs/LootContainers/FTUE_Backstory_Loot.dynamicslice,LootFtueBackstory,FTUE_BackstoryChest,0.5,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_peek01,4,@LootContainer_FTUE_DisplayName,false,0
LootableAzoth,slices/Structures/Harvesting/LeyFissure_Complete_Small.dynamicslice,slices/Structures/Harvesting/LeyFissure_Complete_Small.dynamicslice,LootMediumT2,AzothSpire,0.5,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_LootableAzoth_DisplayName,false,0
Outfitting_T1_L,slices/POIs/LootContainers/Outfitting_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Outfitting_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_tall01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Outfitting_T1_M,slices/POIs/LootContainers/Outfitting_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Outfitting_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Small_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Outfitting_T2_L,slices/POIs/LootContainers/Outfitting_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Outfitting_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Outfitting_T2_M,slices/POIs/LootContainers/Outfitting_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Outfitting_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Outfitting_T3_L,slices/POIs/LootContainers/Outfitting_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Outfitting_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_SuppliesLarge_DisplayName,false,0
Outfitting_T3_M,slices/POIs/LootContainers/Outfitting_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Outfitting_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootSmallLeveled,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_SuppliesMedium_DisplayName,false,0
Provisioning_T1_L,slices/POIs/LootContainers/Provisioning_T1_L_chest.dynamicslice,slices/POIs/LootContainers/Provisioning_T1_L_loot.dynamicslice,LootLargeT1,ContainerLootCookingLarge,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Big_Celebration02,Loot.Crate_tall01,4,@LootContainer_CookingLarge_DisplayName,false,0
Provisioning_T1_M,slices/POIs/LootContainers/Provisioning_T1_M_chest.dynamicslice,slices/POIs/LootContainers/Provisioning_T1_M_loot.dynamicslice,LootMediumT1,ContainerLootCookingSmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_xsmall01,4,@LootContainer_CookingMedium_DisplayName,false,0
Provisioning_T2_L,slices/POIs/LootContainers/Provisioning_T2_L_chest.dynamicslice,slices/POIs/LootContainers/Provisioning_T2_L_loot.dynamicslice,LootLargeT2,ContainerLootCookingLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_CookingLarge_DisplayName,false,0
Provisioning_T2_M,slices/POIs/LootContainers/Provisioning_T2_M_chest.dynamicslice,slices/POIs/LootContainers/Provisioning_T2_M_loot.dynamicslice,LootMediumT2,ContainerLootCookingSmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_CookingMedium_DisplayName,false,0
Provisioning_T3_L,slices/POIs/LootContainers/Provisioning_T3_L_chest.dynamicslice,slices/POIs/LootContainers/Provisioning_T3_L_loot.dynamicslice,LootLargeT3,ContainerLootCookingLarge,0.25,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Chest_Big_Celebration01,Loot.Chest_big_open01,4,@LootContainer_CookingLarge_DisplayName,false,0
Provisioning_T3_M,slices/POIs/LootContainers/Provisioning_T3_M_chest.dynamicslice,slices/POIs/LootContainers/Provisioning_T3_M_loot.dynamicslice,LootMediumT3,ContainerLootCookingSmall,0.25,3,1,loot_container,Play_Gather_Chest_Small,cFX_Loot.Chest_Medium_Celebration01,Loot.Crate_small01,4,@LootContainer_CookingMedium_DisplayName,false,0
Settlement_Flux,slices/POIs/LootContainers/Settlement_Flux.dynamicslice,slices/POIs/LootContainers/Settlement_Flux.dynamicslice,LootMediumT1,Settlement_Flux,0.5,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Settlement_Small_Celebration01,Loot.Chest_big_peek01,4,@LootContainer_Settlement_Flux_DisplayName,false,0
Settlement_Honey,slices/POIs/LootContainers/Settlement_Honey.dynamicslice,slices/POIs/LootContainers/Settlement_Honey.dynamicslice,LootMediumT1_Standing,Settlement_Honey,0.5,3,1,loot_container,Play_Gather_Chest_Large,cFX_Loot.Settlement_Small_Celebration01,Loot.Chest_big_peek01,4,@LootContainer_Settlement_Honey_DisplayName,false,0
